* omi Per,03 44 19.1320,+32 17 17.692,8.18,-10.43,3.83,2.91,B,Atik,Omicron Perseus,HD  23180,SAO  56673,HIP 17448,HR  1131,,
* 27 Tau,03 49 09.7430,+24 03 12.301,19.079,-46.193,3.63,8.1184,B,Atlas,27 Tau,HD  23850,SAO  76228,HIP 17847,HR  1178,Gaia DR2 66526127136550784,Gaia DR3 66526127137440128
* alf TrA,16 48 39.8950,-69 01 39.762,17.99,-31.58,1.88,8.35,K,Atria,Alpha Triangulum Australe,HD 150798,SAO 253700,HIP 82273,HR  6217,,
* eps Car,08 22 30.8352,-59 30 34.143,-25.52,22.06,1.86,5.39,K,Avior,EPsilon Carina,,SAO 235932,HIP 41037,HR  3307,,
* pi.01 Cyg,21 42 05.6606,+51 11 22.659,4.934,-3.583,4.66,2.2726,B,Azelfafage,Pi01 Cygnus,HD 206672,SAO  33665,HIP 107136,HR  8301,Gaia DR2 1980828986950827776,Gaia DR3 1980828991263480448
* eta Eri,02 56 25.6492,-08 53 53.316,78.2,-219.121,3.87,24.2178,K,Azha,Eta Eridanus,HD  18322,SAO 130197,HIP 13701,HR   874,Gaia DR2 5173421634270376320,Gaia DR3 5173421634271199104
* ksi Pup,07 49 17.6535,-24 51 35.221,-3.61,-2.579,3.3,3.0059,G,Asmidiske,Xi Puppis,HD  63700,SAO 174601,HIP 38170,HR  3045,Gaia DR2 5614471482299920384,Gaia DR3 5614471482318442240
* zet Cet,01 51 27.6313,-10 20 06.111,39.752,-40.956,3.72,12.877,K,Baten Kaitos,ZEta Cetus,HD  11353,SAO 148059,HIP 8645,HR   539,Gaia DR2 2461150714559889920,Gaia DR3 2461150714560126080
* 43 Eri,04 24 02.2063,-34 01 00.658,67.572,48.489,3.96,11.127,K,Beemim,UPsilon03 Eridanus,HD  28028,SAO 194984,HIP 20535,HR  1393,Gaia DR2 4871775051596978944,Gaia DR3 4871775051598300160
* omi01 Eri,04 11 51.9390,-06 50 15.286,10.233,81.858,4.026,26.1097,F,Beid,Omicron01 Eridanus,HD  26574,SAO 131019,HIP 19587,HR  1298,Gaia DR2 3196359642877808512,Gaia DR3 3196359642878570368
* gam Ori,05 25 07.8632,+06 20 58.931,-8.11,-12.88,1.64,12.92,B,Bellatrix,Gamma Orion,HD  35468,SAO 112740,HIP 25336,HR  1790,,
* alf Ori,05 55 10.3053,+07 24 25.430,27.54,11.3,0.42,6.55,M,Betelgeuse,Alpha Orion,HD  39801,SAO 113271,HIP 27989,HR  2061,,
* 41 Ari,02 49 59.0332,+27 15 37.826,66.81,-116.52,3.594,19.69,B,Bharani,41 Aries,HD  17573,SAO  75596,HIP 13209,HR   838,Gaia DR2 116339982465090048,Gaia DR3 116339982466340736
* tet Peg,22 10 11.9886,+06 11 52.517,265.699,10.407,3.55,36.7678,A,Biham,Theta Pegasus,HD 210418,SAO 127340,HIP 109427,HR  8450,Gaia DR2 2720428303852169216,Gaia DR3 2720428303852574336
* del Ari,03 11 37.7665,+19 43 36.023,153.871,-5.586,4.37,19.7731,G,Botein,Delphinusta Aries,HD  19787,SAO  93328,HIP 14838,HR   951,Gaia DR2 60248877811328768,Gaia DR3 60248877811546112
* sig Lib,15 04 04.2148,-25 16 55.090,-73.484,-42.632,3.21,12.5387,M,Brachium,Sigma Lib,HD 133216,SAO 183139,HIP 73714,HR  5603,Gaia DR2 6227443304909889536,Gaia DR3 6227443304915069056
* ksi Aqr,21 37 45.1097,-07 51 15.125,114.89,-24.434,4.69,18.2324,K,Bunda,Xi Aquarius,HD 205767,SAO 145537,HIP 106786,HR  8264,Gaia DR2 2667335258168556928,Gaia DR3 2667335258168556928
NAME CMa Dwarf Galaxy,07 12.6,-27 40,--,--,-0.1,--,,Canis Major Galaxy,,,,,,,
* alf Car,06 23 57.1098,-52 41 44.381,19.93,23.24,-0.74,10.55,A,Canopus,Alpha Carina,HD  45348,SAO 234480,HIP 30438,HR  2326,,
* alf Aur,05 16 41.3587,+45 59 52.769,75.25,-426.89,0.08,76.2,G,Capella,Alpha Auriga,HD  34029,SAO  40186,HIP 24608,HR  1708,,
* bet Cas,00 09 10.6851,+59 08 59.212,523.5,-179.77,2.27,59.58,F,Caph,BEta Cassiopeia,HD    432,SAO  21133,HIP 746,HR    21,,Gaia DR3 423018377034969216
* alf Gem A,07 34 35.8628,+31 53 17.794,-206.3,-148.2,1.9,--,A,Castor A,Alpha Gemini A,HD  60179,,,HR  2891,,
* alf Gem B,07 34 36.1004,+31 53 18.571,-206.3,-148.2,3,--,K,Castor B,Alpha Gemini B,HD  60178,,,HR  2890,,
* alf Gem,07 34 35.8731,+31 53 17.816,-191.45,-145.19,1.58,64.12,A,Castor,Alpha Gemini,,SAO  60198,HIP 36850,,,
* ups02 Cas,00 56 39.9051,+59 10 51.805,-92.611,-45.397,4.622,16.6465,G,Castula,UPsilon02 Cassiopeia,HD   5395,SAO  21855,HIP 4422,HR   265,Gaia DR2 425940947659705600,Gaia DR3 425940947659705600
* bet Oph,17 43 28.3519,+04 34 02.293,-41.793,159.43,2.75,39.2284,K,Cebalrai,BEta Oph,HD 161096,SAO 122671,HIP 86742,HR  6603,Gaia DR2 4473334474601314560,Gaia DR3 4473334474604992384
* 16 Tau,03 44 48.2149,+24 17 22.083,19.849,-44.966,5.46,7.3852,B,Celaeno,16 Tau,HD  23288,SAO  76126,HIP 17489,HR  1140,Gaia DR2 65287458566524928,Gaia DR3 65287458566524928
